id,geo_lat,geo_lon,lat,long,crash_count
153,39.77182496440487,-105.02998343798289,39.77182496440487,-105.02998343798289,0
154,39.77122727947795,-105.02997015922236,39.77122727947795,-105.02997015922236,0
155,39.770624587616425,-105.02998797144603,39.770624587616425,-105.02998797144603,0
156,39.77033383145626,-105.02996632450251,39.77033383145626,-105.02996632450251,0
157,39.7694165165604,-105.02997961161141,39.7694165165604,-105.02997961161141,47
158,39.76833920496926,-105.02995219481089,39.76833920496926,-105.02995219481089,9
159,39.76740888097393,-105.02995106430201,39.76740888097393,-105.02995106430201,9
160,39.7664958115997,-105.02995096147406,39.7664958115997,-105.02995096147406,2
161,39.76562760945352,-105.02994595418188,39.76562760945352,-105.02994595418188,18
162,39.764713357673735,-105.03000391521566,39.764713357673735,-105.03000391521566,2
163,39.76389715528169,-105.03005564120846,39.76389715528169,-105.03005564120846,5
164,39.762130473174444,-105.0300032918647,39.762130473174444,-105.0300032918647,7
165,39.761228310972186,-105.02993643613415,39.761228310972186,-105.02993643613415,1
166,39.76085984718627,-105.02992889588548,39.76085984718627,-105.02992889588548,0
167,39.760311699723815,-105.029936483496,39.760311699723815,-105.029936483496,4
168,39.75942256461298,-105.02993648712551,39.75942256461298,-105.02993648712551,0
169,39.76098914673373,-105.02679918240682,39.76098914673373,-105.02679918240682,15
170,39.78561448733205,-105.02521423570458,39.78561448733205,-105.02521423570458,74
171,39.783910657259575,-105.02521604465153,39.783910657259575,-105.02521604465153,17
172,39.78215898426814,-105.02521653358133,39.78215898426814,-105.02521653358133,27
173,39.77904068800478,-105.0252290080337,39.77904068800478,-105.0252290080337,1
174,39.7784507279766,-105.02522426134985,39.7784507279766,-105.02522426134985,3
175,39.777855587321696,-105.02523737630197,39.777855587321696,-105.02523737630197,1
176,39.77532969253662,-105.02523739881549,39.77532969253662,-105.02523739881549,2
177,39.77472033735847,-105.02525699776427,39.77472033735847,-105.02525699776427,6
178,39.7741262254356,-105.0252395810507,39.7741262254356,-105.0252395810507,0
179,39.77291394400391,-105.02525744654555,39.77291394400391,-105.02525744654555,29
180,39.7720287724949,-105.02526908552619,39.7720287724949,-105.02526908552619,5
181,39.771102720212234,-105.02525796350031,39.771102720212234,-105.02525796350031,7
182,39.77021790816687,-105.0252718566838,39.77021790816687,-105.0252718566838,18
